Kinase_name,Accession,Gene_symbol,Gene_family,Cell_location,Genome_location,Protein_longname
ALK_HUMAN,Q9UM73,ALK,Protein kinase superfamily  Tyr protein kinase family  Insulin receptor subfamily,Cell membrane Single-pass type I membrane protein,2p23.2-p23.1,ALK tyrosine kinase receptor  
ALPK1_HUMAN,Q96QP1,ALPK1,Protein kinase superfamily  Alpha-type protein kinase family  ALPK subfamily,Cytoplasm  cytosol,4q25,Alpha-protein kinase 1  
ALPK2_HUMAN,Q86TB3,ALPK2,Protein kinase superfamily  Alpha-type protein kinase family  ALPK subfamily,Cytoplasm  cytosol,18q21.31-q21.32,Alpha-protein kinase 2  
ALPK3_HUMAN,Q96L96,ALPK3,Protein kinase superfamily  Alpha-type protein kinase family  ALPK subfamily,Nucleus,15q25.3,Alpha-protein kinase 3  
AMHR2_HUMAN,Q16671,AMHR2,Protein kinase superfamily  TKL Ser/Thr protein kinase family  TGFB receptor subfamily,Cell membrane Single-pass type I membrane protein,12q13.13,Anti-Muellerian hormone type-2 receptor  
ANKK1_HUMAN,Q8NFD2,ANKK1,Protein kinase superfamily  TKL Ser/Thr protein kinase family,Cell membrane Single-pass type I membrane protein,11q23.2,Ankyrin repeat and protein kinase domain-containing protein 1  
ANPRA_HUMAN,P16066,NPR1,Adenylyl cyclase class-4/guanylyl cyclase family,Cell membrane Single-pass type I membrane protein Endoplasmic reticulum membrane Single-pass type I membrane protein,1q21.3,Atrial natriuretic peptide receptor 1  
ANPRB_HUMAN,P20594,NPR2,Adenylyl cyclase class-4/guanylyl cyclase family,Cell membrane Single-pass type I membrane protein,9p13.3,Atrial natriuretic peptide receptor 2  
ANTR1_HUMAN,Q9H6X2,ANTXR1,ATR family,Cell membrane Single-pass type I membrane protein Cell projection  lamellipodium membrane Single-pass type I membrane protein Cell projection  filopodium membrane Single-pass type I membrane protein,2p13.3,Anthrax toxin receptor 1 
ARAF_HUMAN,P10398,ARAF,Protein kinase superfamily  TKL Ser/Thr protein kinase family  RAF subfamily,Cell membrane Single-pass type I membrane protein,Xp11.3,Serine/threonine-protein kinase A-Raf  
ARBK1_HUMAN,P25098,GRK2,Protein kinase superfamily  AGC Ser/Thr protein kinase family  GPRK subfamily,Cytoplasm Cell membrane,11q13.2,Beta-adrenergic receptor kinase 1 
ARBK2_HUMAN,P35626,GRK3,Protein kinase superfamily  AGC Ser/Thr protein kinase family  GPRK subfamily,Cytoplasm Cell membrane,22q12.1,Beta-adrenergic receptor kinase 2 
ATM_HUMAN,Q13315,ATM,PI3/PI4-kinase family  ATM subfamily,Nucleus Cytoplasmic vesicle,11q22.3,Serine-protein kinase ATM  
ATR_HUMAN,Q13535,ATR,PI3/PI4-kinase family  ATM subfamily,Nucleus Nucleus  PML body Chromosome,3q23,Serine/threonine-protein kinase ATR  
AURKA_HUMAN,O14965,AURKA,Protein kinase superfamily  Ser/Thr protein kinase family  Aurora subfamily,Cytoplasm  cytoskeleton  microtubule organizing center  centrosome Cytoplasm  cytoskeleton  spindle pole Cytoplasm  cytoskeleton  cilium basal body Cytoplasm  cytoskeleton  microtubule organizing center  centrosome  centriole,20q13.2,Aurora kinase A  
AURKB_HUMAN,Q96GD4,AURKB,Protein kinase superfamily  Ser/Thr protein kinase family  Aurora subfamily,Cytoplasm  cytoskeleton  microtubule organizing center  centrosome Cytoplasm  cytoskeleton  spindle pole Cytoplasm  cytoskeleton  cilium basal body Cytoplasm  cytoskeleton  microtubule organizing center  centrosome  centriole,17p13.1,Aurora kinase B  
AURKC_HUMAN,Q9UQB9,AURKC,Protein kinase superfamily  Ser/Thr protein kinase family  Aurora subfamily,Nucleus. Chromosome. Chromosome  centromere Cytoplasm  cytoskeleton  spindle,19q13.43,Aurora kinase C  
AVR2A_HUMAN,P27037,ACVR2A,Protein kinase superfamily  TKL Ser/Thr protein kinase family  TGFB receptor subfamily,Membrane Single-pass type I membrane protein,2q22.3-q23.1,Activin receptor type-2A  
AVR2B_HUMAN,Q13705,ACVR2B,Protein kinase superfamily  TKL Ser/Thr protein kinase family  TGFB receptor subfamily,Cell membrane Single-pass type I membrane protein,3p22.2,Activin receptor type-2B  
B1_VACCW,P16913,VPK1,Protein kinase superfamily  Ser/Thr protein kinase family  Poxviruses subfamily,Virion Host cytoplasm,,B1 kinase 
BCKD_HUMAN,O14874,BCKDK,PDK/BCKDK protein kinase family,Mitochondrion matrix. Mitochondrion,16p11.2,[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase  mitochondrial 
BLK_HUMAN,P51451,BLK,Protein kinase superfamily  Tyr protein kinase family  SRC subfamily,Cell membrane Lipid-anchor,8p23.1,Tyrosine-protein kinase Blk  
BMP2K_HUMAN,Q9NSY1,BMP2K,Protein kinase superfamily  Ser/Thr protein kinase family,Nucleus,4q21.21,BMP-2-inducible protein kinase 
BMPR2_HUMAN,Q13873,BMPR2,Protein kinase superfamily  TKL Ser/Thr protein kinase family  TGFB receptor subfamily,Cell membrane Single-pass type I membrane protein.,2q33.1-q33.2,Bone morphogenetic protein receptor type-2 
BMR1A_HUMAN,P36894,BMPR1A,Protein kinase superfamily  TKL Ser/Thr protein kinase family  TGFB receptor subfamily,Cell membrane Single-pass type I membrane protein Cell surface,10q23.2,Bone morphogenetic protein receptor type-1A 
BMR1B_HUMAN,O00238,BMPR1B,Protein kinase superfamily  TKL Ser/Thr protein kinase family  TGFB receptor subfamily,Cell membrane Membrane; Single-pass type I membrane protein.,4q22.3,Bone morphogenetic protein receptor type-1B 
BMX_HUMAN,P51813,BMX,Protein kinase superfamily  Tyr protein kinase family  TEC subfamily,Cytoplasm,Xp22.2,Cytoplasmic tyrosine-protein kinase BMX  
BRAF_HUMAN,P15056,BRAF,Protein kinase superfamily  TKL Ser/Thr protein kinase family  RAF subfamily,Nucleus Cytoplasm. Cell membrane,7q34,Serine/threonine-protein kinase B-raf  
BRSK1_HUMAN,Q8TDC3,BRSK1,Protein kinase superfamily  CAMK Ser/Thr protein kinase family  SNF1 subfamily,Cytoplasm Nucleus Cytoplasm  cytoskeleton  microtubule organizing center  centrosome Cell junction  synapse,19q13.42,Serine/threonine-protein kinase BRSK1  
BRSK2_HUMAN,Q8IWQ3,BRSK2,Protein kinase superfamily  CAMK Ser/Thr protein kinase family  SNF1 subfamily,Cytoplasm Nucleus Cytoplasm  cytoskeleton  microtubule organizing center  centrosome Cell junction  synapse,11p15.5,Serine/threonine-protein kinase BRSK2  
BTK_HUMAN,Q06187,BTK,Protein kinase superfamily  Tyr protein kinase family  TEC subfamily,Cytoplasm,Xq22.1,Tyrosine-protein kinase BTK  
BUB1_HUMAN,O43683,BUB1,Protein kinase superfamily  Ser/Thr protein kinase family  BUB1 subfamily,Nucleus,2q13,Mitotic checkpoint serine/threonine-protein kinase BUB1 
BUB1B_HUMAN,O60566,BUB1B,Protein kinase superfamily  Ser/Thr protein kinase family  BUB1 subfamily,Nucleus,15q15.1,Mitotic checkpoint serine/threonine-protein kinase BUB1 beta  
CAMKV_HUMAN,Q8NCB2,CAMKV,Protein kinase superfamily  CAMK Ser/Thr protein kinase family,Cell membrane Peripheral membrane protein Cytoplasmic vesicle membrane Peripheral membrane protein,3p21.31,CaM kinase-like vesicle-associated protein
CD11A_HUMAN,Q9UQ88,CDK11A,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  CDC2/CDKX subfamily,Cytoplasm  cytoskeleton  cilium basal body,1p36.33,Cyclin-dependent kinase 11A  
CD11B_HUMAN,P21127,CDK11B,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  CDC2/CDKX subfamily,Cytoplasm  cytoskeleton  cilium basal body,1p36.33,Cyclin-dependent kinase 11B  
CDC7_HUMAN,O00311,CDC7,Protein kinase superfamily  Ser/Thr protein kinase family  CDC7 subfamily,Nucleus Cytoplasm Cell projection,1p22.1,Cell division cycle 7-related protein kinase 
CDK1_HUMAN,P06493,CDK1,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  CDC2/CDKX subfamily,Nucleus. Cytoplasm. Mitochondrion. Cytoplasm  cytoskeleton  microtubule organizing center  centrosome Cytoplasm  cytoskeleton  spindle.,10q21.2,Cyclin-dependent kinase 1 
CDK10_HUMAN,Q15131,CDK10,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  CDC2/CDKX subfamily,Cytoplasm  cytoskeleton  cilium basal body,16q24.3,Cyclin-dependent kinase 10  
CDK12_HUMAN,Q9NYV4,CDK12,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  CDC2/CDKX subfamily,Cytoplasm  cytoskeleton  cilium basal body,17q12,Cyclin-dependent kinase 12   
CDK13_HUMAN,Q14004,CDK13,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  CDC2/CDKX subfamily,Nucleus speckle,7p14.1,Cyclin-dependent kinase 13   
CDK14_HUMAN,O94921,CDK14,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  CDC2/CDKX subfamily,Nucleus speckle,7q21.13,Cyclin-dependent kinase 14  
CDK15_HUMAN,Q96Q40,CDK15,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  CDC2/CDKX subfamily,Nucleus speckle,2q33.1,Cyclin-dependent kinase 15  
CDK16_HUMAN,Q00536,CDK16,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  CDC2/CDKX subfamily,Cytoplasm. Cytoplasmic vesicle  secretory vesicle. Cell membrane; Peripheral membrane protein; Cytoplasmic side. Cell junction  synapse  synaptosome,Xp11.3,Cyclin-dependent kinase 16  
CDK17_HUMAN,Q00537,CDK17,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  CDC2/CDKX subfamily,Cytoplasm. Cytoplasmic vesicle  secretory vesicle. Cell membrane; Peripheral membrane protein; Cytoplasmic side. Cell junction  synapse  synaptosome,12q23.1,Cyclin-dependent kinase 17  
CDK18_HUMAN,Q07002,CDK18,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  CDC2/CDKX subfamily,Cytoplasm. Cytoplasmic vesicle  secretory vesicle. Cell membrane; Peripheral membrane protein; Cytoplasmic side. Cell junction  synapse  synaptosome,1q32.1,Cyclin-dependent kinase 18  
CDK19_HUMAN,Q9BWU1,CDK19,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  CDC2/CDKX subfamily,Cytoplasm. Cytoplasmic vesicle  secretory vesicle. Cell membrane; Peripheral membrane protein; Cytoplasmic side. Cell junction  synapse  synaptosome,6q21,Cyclin-dependent kinase 19  
CDK2_HUMAN,P24941,CDK2,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  CDC2/CDKX subfamily,Cytoplasm. Cytoplasmic vesicle  secretory vesicle. Cell membrane; Peripheral membrane protein; Cytoplasmic side. Cell junction  synapse  synaptosome,12q13.2,Cyclin-dependent kinase 2  
CDK20_HUMAN,Q8IZL9,CDK20,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  CDC2/CDKX subfamily,Nucleus Cytoplasm Cell projection  cilium,9q22.1,Cyclin-dependent kinase 20  
CDK3_HUMAN,Q00526,CDK3,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  CDC2/CDKX subfamily,Nucleus Cytoplasm Cell projection  cilium,17q25.1,Cyclin-dependent kinase 3  
CDK4_HUMAN,P11802,CDK4,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  CDC2/CDKX subfamily,Nucleus Cytoplasm Cell projection  cilium,12q14.1,Cyclin-dependent kinase 4  
CDK5_HUMAN,Q00535,CDK5,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  CDC2/CDKX subfamily,Isoform 1: Cytoplasm. Cell membrane; Peripheral membrane protein. Perikaryon. Cell projection  lamellipodium Cell projection  growth cone Cell junction  synapse  postsynaptic cell membrane  postsynaptic density,7q36.1,Cyclin-dependent-like kinase 5  
CDK6_HUMAN,Q00534,CDK6,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  CDC2/CDKX subfamily,Cytoplasm. Nucleus. Cell projection  ruffle. Cytoplasm  cytoskeleton  microtubule organizing center  centrosome,7q21.2,Cyclin-dependent kinase 6  
CDK7_HUMAN,P50613,CDK7,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  CDC2/CDKX subfamily,Cytoplasm. Nucleus. Cell projection  ruffle. Cytoplasm  cytoskeleton  microtubule organizing center  centrosome,5q13.2,Cyclin-dependent kinase 7   
CDK8_HUMAN,P49336,CDK8,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  CDC2/CDKX subfamily,Nucleus,13q12.13,Cyclin-dependent kinase 8   
CDK9_HUMAN,P50750,CDK9,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  CDC2/CDKX subfamily,Nucleus,9q34.11,Cyclin-dependent kinase 9   
CDKA1_HUMAN,O14519,CDK2AP1,CDK2AP family,Nucleus. Cytoplasm. Mitochondrion. Cytoplasm  cytoskeleton  microtubule organizing center  centrosome Cytoplasm  cytoskeleton  spindle.,12q24.31,Cyclin-dependent kinase 2-associated protein 1 
CDKL1_HUMAN,Q00532,CDKL1,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  CDC2/CDKX subfamily,Cytoplasm Nucleus,14q21.3,Cyclin-dependent kinase-like 1  
CDKL2_HUMAN,Q92772,CDKL2,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  CDC2/CDKX subfamily,Cytoplasm Nucleus,4q21.1,Cyclin-dependent kinase-like 2  
CDKL3_HUMAN,Q8IVW4,CDKL3,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  CDC2/CDKX subfamily,Cytoplasm,5q31.1,Cyclin-dependent kinase-like 3  
CDKL4_HUMAN,Q5MAI5,CDKL4,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  CDC2/CDKX subfamily,Cytoplasm,,Cyclin-dependent kinase-like 4 
CDKL5_HUMAN,O76039,CDKL5,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  CDC2/CDKX subfamily,Nucleus Cytoplasm  cytoskeleton  cilium basal body Cytoplasm  cytoskeleton  microtubule organizing center  centrosome,Xp22.13,Cyclin-dependent kinase-like 5  
CHK1_HUMAN,O14757,CHEK1,Protein kinase superfamily  CAMK Ser/Thr protein kinase family  NIM1 subfamily,Nucleus Cytoplasm Cell membrane Peripheral membrane protein,11q24.2,Serine/threonine-protein kinase Chk1  
CHK2_HUMAN,O96017,CHEK2,Protein kinase superfamily  CAMK Ser/Thr protein kinase family  CHK2 subfamily,Nucleus Cytoplasm Cell membrane Peripheral membrane protein,22q12.1,Serine/threonine-protein kinase Chk2  
CLK1_HUMAN,P49759,CLK1,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  Lammer subfamily,Nucleus Cytoplasm  cytoskeleton  cilium basal body Cytoplasm  cytoskeleton  microtubule organizing center  centrosome,2q33.1,Dual specificity protein kinase CLK1  
CLK2_HUMAN,P49760,CLK2,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  Lammer subfamily,Nucleus Cytoplasm  cytoskeleton  cilium basal body Cytoplasm  cytoskeleton  microtubule organizing center  centrosome,1q22,Dual specificity protein kinase CLK2  
CLK3_HUMAN,P49761,CLK3,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  Lammer subfamily,Isoform 1: Nucleus. Cytoplasm Cytoplasmic vesicle  secretory vesicle  acrosome,15q24.1,Dual specificity protein kinase CLK3  
CLK4_HUMAN,Q9HAZ1,CLK4,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  Lammer subfamily,Nucleus,5q35.3,Dual specificity protein kinase CLK4  
COQ8A_HUMAN,Q8NI60,COQ8A,Protein kinase superfamily  ADCK protein kinase family,Mitochondrion Membrane Single-pass membrane protein,1q42.13,Atypical kinase COQ8A  mitochondrial  
COQ8B_HUMAN,Q96D53,COQ8B,Protein kinase superfamily  ADCK protein kinase family,Mitochondrion membrane Single-pass membrane protein Cytoplasm  cytosol Cell membrane,,Atypical kinase COQ8B  mitochondrial  
CSF1R_HUMAN,P07333,CSF1R,Protein kinase superfamily  Tyr protein kinase family  CSF-1/PDGF receptor subfamily,Cytoplasm,5q32,Macrophage colony-stimulating factor 1 receptor 
CSK_HUMAN,P41240,CSK,Protein kinase superfamily  Tyr protein kinase family  CSK subfamily,Cytoplasm Cell membrane,15q24.1,Tyrosine-protein kinase CSK  
CSK21_HUMAN,P68400,CSNK2A1,Protein kinase superfamily  Ser/Thr protein kinase family  CK2 subfamily,Nucleus,20p13,Casein kinase II subunit alpha 
CSK22_HUMAN,P19784,CSNK2A2,Protein kinase superfamily  Ser/Thr protein kinase family  CK2 subfamily,Nucleus,16q21,Casein kinase II subunit alpha' 
CSK23_HUMAN,Q8NEV1,CSNK2A3,Protein kinase superfamily  Ser/Thr protein kinase family  CK2 subfamily,Nucleus,11p15.4,Casein kinase II subunit alpha 3 
CSKP_HUMAN,O14936,CASK,Protein kinase superfamily  CAMK Ser/Thr protein kinase family  CaMK subfamily; MAGUK family,Nucleus Cytoplasm Cell membrane Peripheral membrane protein,Xp11.4,Peripheral plasma membrane protein CASK 
CTRO_HUMAN,O14578,CIT,Protein kinase superfamily  AGC Ser/Thr protein kinase family,Cytoplasm,12q24.23,Citron Rho-interacting kinase 
DAPK1_HUMAN,P53355,DAPK1,Protein kinase superfamily  CAMK Ser/Thr protein kinase family  DAP kinase subfamily,Nucleus Cytoplasm Cell membrane Peripheral membrane protein,9q21.33,Death-associated protein kinase 1 
DAPK2_HUMAN,Q9UIK4,DAPK2,Protein kinase superfamily  CAMK Ser/Thr protein kinase family  DAP kinase subfamily,Nucleus Cytoplasm Cell membrane Peripheral membrane protein,15q22.31,Death-associated protein kinase 2 
DAPK3_HUMAN,O43293,DAPK3,Protein kinase superfamily  CAMK Ser/Thr protein kinase family  DAP kinase subfamily,Nucleus Cytoplasm,19p13.3,Death-associated protein kinase 3 
DCLK1_HUMAN,O15075,DCLK1,Protein kinase superfamily  CAMK Ser/Thr protein kinase family  CaMK subfamily,Nucleus Cytoplasm,13q13.3,Serine/threonine-protein kinase DCLK1  
DCLK2_HUMAN,Q8N568,DCLK2,Protein kinase superfamily  CAMK Ser/Thr protein kinase family  CaMK subfamily,Nucleus Cytoplasm,4q31.23-q31.3,Serine/threonine-protein kinase DCLK2  
DCLK3_HUMAN,Q9C098,DCLK3,Protein kinase superfamily  CAMK Ser/Thr protein kinase family  CaMK subfamily,Cytoplasm Nucleus,3p22.2,Serine/threonine-protein kinase DCLK3  
DDR1_HUMAN,Q08345,DDR1,Protein kinase superfamily  Tyr protein kinase family  Insulin receptor subfamily,Cytoplasm Cell membrane,6p21.33,Epithelial discoidin domain-containing receptor 1 
DDR2_HUMAN,Q16832,DDR2,Protein kinase superfamily  Tyr protein kinase family  Insulin receptor subfamily,Cell membrane Single-pass type I membrane protein,1q23.3,Discoidin domain-containing receptor 2 
DMPK_HUMAN,Q09013,DMPK,Protein kinase superfamily  AGC Ser/Thr protein kinase family  DMPK subfamily,Endoplasmic reticulum membrane Single-pass type IV membrane protein Cytoplasmic side Nucleus outer membrane Single-pass type IV membrane protein Cytoplasmic side Mitochondrion outer membrane Single-pass type IV membrane protein Sarcoplasmic reticulum membrane Cell membrane Cytoplasm  cytosol,19q13.32,Myotonin-protein kinase 
DUSTY_HUMAN,Q6XUX3,DSTYK,Protein kinase superfamily  Ser/Thr protein kinase family,Cytoplasm Cell membrane Apical cell membrane Basolateral cell membrane Cell junction,1q32.1,Dual serine/threonine and tyrosine protein kinase  
DYR1A_HUMAN,Q13627,DYRK1A,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  MNB/DYRK subfamily,Nucleus Nucleus speckle,21q22.13,Dual specificity tyrosine-phosphorylation-regulated kinase 1A  
DYR1B_HUMAN,Q9Y463,DYRK1B,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  MNB/DYRK subfamily,Nucleus Nucleus speckle,19q13.2,Dual specificity tyrosine-phosphorylation-regulated kinase 1B  
DYRK2_HUMAN,Q92630,DYRK2,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  MNB/DYRK subfamily,Nucleus Nucleus speckle,12q15,Dual specificity tyrosine-phosphorylation-regulated kinase 2 
DYRK3_HUMAN,O43781,DYRK3,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  MNB/DYRK subfamily,Nucleus Cytoplasm Nucleus speckle Cytoplasmic granule Cytoplasm  cytoskeleton  microtubule organizing center  centrosome,1q32.1,Dual specificity tyrosine-phosphorylation-regulated kinase 3  
DYRK4_HUMAN,Q9NR20,DYRK4,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  MNB/DYRK subfamily,Isoform 1: Cytoplasm,12p13.32,Dual specificity tyrosine-phosphorylation-regulated kinase 4 
E2AK1_HUMAN,Q9BQI3,EIF2AK1,Protein kinase superfamily  Ser/Thr protein kinase family  GCN2 subfamily,Cytoplasm,7p22.1,Eukaryotic translation initiation factor 2-alpha kinase 1  
E2AK2_HUMAN,P19525,EIF2AK2,Protein kinase superfamily  Ser/Thr protein kinase family  GCN2 subfamily,Cytoplasm,2p22.2,Interferon-induced  double-stranded RNA-activated protein kinase  
E2AK3_HUMAN,Q9NZJ5,EIF2AK3,Protein kinase superfamily  Ser/Thr protein kinase family  GCN2 subfamily,Cytoplasm,2p11.2,Eukaryotic translation initiation factor 2-alpha kinase 3  
E2AK4_HUMAN,Q9P2K8,EIF2AK4,Protein kinase superfamily  Ser/Thr protein kinase family  GCN2 subfamily,Cytoplasm,15q15.1,eIF-2-alpha kinase GCN2  
EF2K_HUMAN,O00418,EEF2K,Protein kinase superfamily  Alpha-type protein kinase family,Nucleus,16p12.2,Eukaryotic elongation factor 2 kinase 
EGFR_HUMAN,P00533,EGFR,Protein kinase superfamily  Tyr protein kinase family  EGF receptor subfamily,Cell membrane Single-pass type I membrane protein Endoplasmic reticulum membrane Single-pass type I membrane protein. Golgi apparatus membrane; Single-pass type I membrane protein. Nucleus membrane; Single-pass type I membrane protein. Endosome Endosome membrane. Nucleus,7p11.2,Epidermal growth factor receptor  
EPHA1_HUMAN,P21709,EPHA1,Protein kinase superfamily  Tyr protein kinase family  Ephrin receptor subfamily,Cell membrane Single-pass type I membrane protein,7q34-q35,Ephrin type-A receptor 1 
EPHA2_HUMAN,P29317,EPHA2,Protein kinase superfamily  Tyr protein kinase family  Ephrin receptor subfamily,Cell membrane Single-pass type I membrane protein Cell projection  ruffle membrane Single-pass type I membrane protein Cell projection  lamellipodium membrane Single-pass type I membrane protein Cell junction  focal adhesion,1p36.13,Ephrin type-A receptor 2  
EPHA3_HUMAN,P29320,EPHA3,Protein kinase superfamily  Tyr protein kinase family  Ephrin receptor subfamily,Isoform 1: Cell membrane Single-pass type I membrane protein,3p11.1,Ephrin type-A receptor 3  
EPHA4_HUMAN,P54764,EPHA4,Protein kinase superfamily  Tyr protein kinase family  Ephrin receptor subfamily,Cell membrane Single-pass type I membrane protein Cell projection  axon Cell projection  dendrite Cell junction  synapse  postsynaptic cell membrane  postsynaptic density Early endosome,2q36.1,Ephrin type-A receptor 4  
EPHA5_HUMAN,P54756,EPHA5,Protein kinase superfamily  Tyr protein kinase family  Ephrin receptor subfamily,Cell membrane Single-pass type I membrane protein Cell projection  axon Cell projection  dendrite,4q13.1-q13.2,Ephrin type-A receptor 5  
EPHA6_HUMAN,Q9UF33,EPHA6,Protein kinase superfamily  Tyr protein kinase family  Ephrin receptor subfamily,Membrane Single-pass type I membrane protein,3q11.2,Ephrin type-A receptor 6  
EPHA7_HUMAN,Q15375,EPHA7,Protein kinase superfamily  Tyr protein kinase family  Ephrin receptor subfamily,Cell membrane Single-pass type I membrane protein,6q16.1,Ephrin type-A receptor 7  
EPHA8_HUMAN,P29322,EPHA8,Protein kinase superfamily  Tyr protein kinase family  Ephrin receptor subfamily,Cell membrane Single-pass type I membrane protein Cell projection Early endosome membrane,1p36.12,Ephrin type-A receptor 8  
EPHAA_HUMAN,Q5JZY3,EPHA10,Protein kinase superfamily  Tyr protein kinase family  Ephrin receptor subfamily,Isoform 1: Cell membrane Single-pass type I membrane protein,1p34.3,Ephrin type-A receptor 10 
