KinaseID,Accession,Kinase_name,Gene_symbol,Gene_family,Cell_location,Protein_longname,Genome_location 
27,P17612,KAPCA_HUMAN,PRKACA,Protein kinase superfamily  AGC Ser/Thr protein kinase family  cAMP subfamily,Cytoplasm. Cell membrane. Nucleus Mitochondrion Membrane Lipid-anchor,cAMP-dependent protein kinase catalytic subunit alpha ,19p13.12
28,P22694,KAPCB_HUMAN,PRKACB,Protein kinase superfamily  AGC Ser/Thr protein kinase family  cAMP subfamily,Cytoplasm Cell membrane Membrane Lipid-anchor Nucleus,cAMP-dependent protein kinase catalytic subunit beta ,1p31.1
29,P22612,KAPCG_HUMAN,PRKACG,Protein kinase superfamily  AGC Ser/Thr protein kinase family  cAMP subfamily,Cytoplasm Cell membrane Membrane Lipid-anchor Nucleus,cAMP-dependent protein kinase catalytic subunit gamma ,9q21.11
30,P17252,KPCA_HUMAN,PRKCA,Protein kinase superfamily  AGC Ser/Thr protein kinase family  PKC subfamily,Cytoplasm Cell membrane Peripheral membrane protein Mitochondrion membrane Peripheral membrane protein Nucleus,Protein kinase C alpha type ,17q24.2
31,P05771,KPCB_HUMAN,PRKCB,Protein kinase superfamily  AGC Ser/Thr protein kinase family  PKC subfamily,Cytoplasm Nucleus Membrane Peripheral membrane protein,Protein kinase C beta type ,16p12.2-p12.1
32,Q05655,KPCD_HUMAN,PRKCD,Protein kinase superfamily  AGC Ser/Thr protein kinase family  PKC subfamily,Cytoplasm Cytoplasm  perinuclear region Nucleus Cell membrane Peripheral membrane protein,Protein kinase C delta type  ,3p21.1
33,Q02156,KPCE_HUMAN,PRKCE,Protein kinase superfamily  AGC Ser/Thr protein kinase family  PKC subfamily,Cytoplasm Cytoplasm  cytoskeleton Cell membrane Cytoplasm  perinuclear region Nucleus,Protein kinase C epsilon type  ,2p21
34,P05129,KPCG_HUMAN,PRKCG,Protein kinase superfamily  AGC Ser/Thr protein kinase family  PKC subfamily,Cytoplasm Cytoplasm  perinuclear region Cell membrane Peripheral membrane protein Cell junction  synapse  synaptosome Cell projection  dendrite,Protein kinase C gamma type ,19q13.42
35,P24723,KPCL_HUMAN,PRKCH,Protein kinase superfamily  AGC Ser/Thr protein kinase family  PKC subfamily,Cytoplasm,Protein kinase C eta type  ,14q23.1
36,P41743,KPCI_HUMAN,PRKCI,Protein kinase superfamily  AGC Ser/Thr protein kinase family  PKC subfamily,Cytoplasm Membrane Endosome Nucleus,Protein kinase C iota type  ,3q26.2
37,Q04759,KPCT_HUMAN,PRKCQ,Protein kinase superfamily  AGC Ser/Thr protein kinase family  PKC subfamily,Cytoplasm Membrane Endosome Nucleus,Protein kinase C theta type  ,10p15.1
38,Q05513,KPCZ_HUMAN,PRKCZ,Protein kinase superfamily  AGC Ser/Thr protein kinase family  PKC subfamily,Cytoplasm Endosome Cell junction Membrane Peripheral membrane protein,Protein kinase C zeta type  ,1p36.33
39,Q13976,KGP1_HUMAN,PRKG1,Protein kinase superfamily  AGC Ser/Thr protein kinase family  cGMP subfamily,Cytoplasm,cGMP-dependent protein kinase 1 ,10q11.23-q21.1
40,Q13237,KGP2_HUMAN,PRKG2,Protein kinase superfamily  AGC Ser/Thr protein kinase family  cGMP subfamily,Apical cell membrane Lipid-anchor,cGMP-dependent protein kinase 2 ,4q21.21
41,P51817,PRKX_HUMAN,PRKX,Protein kinase superfamily  AGC Ser/Thr protein kinase family  cAMP subfamily,Apical cell membrane Lipid-anchor,cAMP-dependent protein kinase catalytic subunit PRKX ,Xp22.33
42,O43930,PRKY_HUMAN,PRKY,Protein kinase superfamily  AGC Ser/Thr protein kinase family  cAMP subfamily,Apical cell membrane Lipid-anchor,Putative serine/threonine-protein kinase PRKY ,Yp11.2
43,Q13464,ROCK1_HUMAN,ROCK1,Protein kinase superfamily  AGC Ser/Thr protein kinase family,Cytoplasm. Cytoplasm  cytoskeleton  microtubule organizing center  centrosome  centriole Golgi apparatus membrane; Peripheral membrane protein. Cell projection  bleb. Cytoplasm  cytoskeleton Cell membrane Cell projection  lamellipodium Cell projection  ruffle,Rho-associated protein kinase 1  ,18q11.1
44,O75116,ROCK2_HUMAN,ROCK2,Protein kinase superfamily  AGC Ser/Thr protein kinase family,Cytoplasm. Cell membrane Peripheral membrane protein Nucleus. Cytoplasm  cytoskeleton  microtubule organizing center  centrosome.,Rho-associated protein kinase 2  ,2p25.1
45,Q15418,KS6A1_HUMAN,RPS6KA1,Protein kinase superfamily  AGC Ser/Thr protein kinase family  S6 kinase subfamily,Cytoplasm. Cell membrane Peripheral membrane protein Nucleus. Cytoplasm  cytoskeleton  microtubule organizing center  centrosome.,Ribosomal protein S6 kinase alpha-1 ,1p36.11
46,Q15349,KS6A2_HUMAN,RPS6KA2,Protein kinase superfamily  AGC Ser/Thr protein kinase family  S6 kinase subfamily,Nucleus Cytoplasm,Ribosomal protein S6 kinase alpha-2 ,6q27
47,P51812,KS6A3_HUMAN,RPS6KA3,Protein kinase superfamily  AGC Ser/Thr protein kinase family  S6 kinase subfamily,Nucleus Cytoplasm,Ribosomal protein S6 kinase alpha-3 ,Xp22.12
48,O75676,KS6A4_HUMAN,RPS6KA4,Protein kinase superfamily  AGC Ser/Thr protein kinase family  S6 kinase subfamily,Nucleus,Ribosomal protein S6 kinase alpha-4 ,11q13.1
49,O75582,KS6A5_HUMAN,RPS6KA5,Protein kinase superfamily  AGC Ser/Thr protein kinase family  S6 kinase subfamily,Nucleus,Ribosomal protein S6 kinase alpha-5 ,14q32.11
50,Q9UK32,KS6A6_HUMAN,RPS6KA6,Protein kinase superfamily  AGC Ser/Thr protein kinase family  S6 kinase subfamily,Cytoplasm  cytosol Nucleus,Ribosomal protein S6 kinase alpha-6 ,Xq21.1
51,P23443,KS6B1_HUMAN,RPS6KB1,Protein kinase superfamily  AGC Ser/Thr protein kinase family  S6 kinase subfamily,Cell junction  synapse  synaptosome Mitochondrion outer membrane. Mitochondrion.,Ribosomal protein S6 kinase beta-1 ,17q23.1
52,Q9UBS0,KS6B2_HUMAN,RPS6KB2,Protein kinase superfamily  AGC Ser/Thr protein kinase family  S6 kinase subfamily,Cell junction  synapse  synaptosome Mitochondrion outer membrane. Mitochondrion.,Ribosomal protein S6 kinase beta-2 ,11q13.2
53,O00141,SGK1_HUMAN,SGK1,Protein kinase superfamily  AGC Ser/Thr protein kinase family,Cell junction  synapse  synaptosome Mitochondrion outer membrane. Mitochondrion.,Serine/threonine-protein kinase Sgk1  ,6q23.2
54,Q9HBY8,SGK2_HUMAN,SGK2,Protein kinase superfamily  AGC Ser/Thr protein kinase family,Cytoplasm Nucleus,Serine/threonine-protein kinase Sgk2  ,20q13.12
55,Q96BR1,SGK3_HUMAN,SGK3,Protein kinase superfamily  AGC Ser/Thr protein kinase family,Cytoplasmic vesicle Early endosome. Recycling endosome.,Serine/threonine-protein kinase Sgk3  ,8q13.1
56,Q15208,STK38_HUMAN,STK38,Protein kinase superfamily  AGC Ser/Thr protein kinase family,Cytoplasmic vesicle Early endosome. Recycling endosome.,Serine/threonine-protein kinase 38  ,6p21.31
57,Q9Y2H1,ST38L_HUMAN,STK38L,Protein kinase superfamily  AGC Ser/Thr protein kinase family,Cytoplasmic vesicle Early endosome. Recycling endosome.,Serine/threonine-protein kinase 38-like  ,12p11.23
58,Q8TDC3,BRSK1_HUMAN,BRSK1,Protein kinase superfamily  CAMK Ser/Thr protein kinase family  SNF1 subfamily,Cytoplasm Nucleus Cytoplasm  cytoskeleton  microtubule organizing center  centrosome Cell junction  synapse,Serine/threonine-protein kinase BRSK1  ,19q13.42
59,Q8IWQ3,BRSK2_HUMAN,BRSK2,Protein kinase superfamily  CAMK Ser/Thr protein kinase family  SNF1 subfamily,Cytoplasm Nucleus Cytoplasm  cytoskeleton  microtubule organizing center  centrosome Cell junction  synapse,Serine/threonine-protein kinase BRSK2  ,11p15.5
60,Q14012,KCC1A_HUMAN,CAMK1,Protein kinase superfamily  CAMK Ser/Thr protein kinase family  CaMK subfamily,Cytoplasm Nucleus,Calcium/calmodulin-dependent protein kinase type 1  ,3p25.3
61,Q8IU85,KCC1D_HUMAN,CAMK1D,Protein kinase superfamily  CAMK Ser/Thr protein kinase family  CaMK subfamily,Cytoplasm Nucleus,Calcium/calmodulin-dependent protein kinase type 1D  ,10p13
62,Q96NX5,KCC1G_HUMAN,CAMK1G,Protein kinase superfamily  CAMK Ser/Thr protein kinase family  CaMK subfamily,Cytoplasm Golgi apparatus membrane Peripheral membrane protein Cell membrane Peripheral membrane protein,Calcium/calmodulin-dependent protein kinase type 1G  ,1q32.2
63,Q9UQM7,KCC2A_HUMAN,CAMK2A,Protein kinase superfamily  CAMK Ser/Thr protein kinase family  CaMK subfamily,Cell junction  synapse Cell junction  synapse  postsynaptic cell membrane  postsynaptic density Cell projection  dendritic spine Cell projection  dendrite,Calcium/calmodulin-dependent protein kinase type II subunit alpha ,5q32
64,Q13554,KCC2B_HUMAN,CAMK2B,Protein kinase superfamily  CAMK Ser/Thr protein kinase family  CaMK subfamily,Cytoplasm  cytoskeleton Cytoplasm  cytoskeleton  microtubule organizing center  centrosome Sarcoplasmic reticulum membrane Peripheral membrane protein Cytoplasmic side Cell junction  synapse,Calcium/calmodulin-dependent protein kinase type II subunit beta ,7p13
65,Q13557,KCC2D_HUMAN,CAMK2D,Protein kinase superfamily  CAMK Ser/Thr protein kinase family  CaMK subfamily,Cell membrane  sarcolemma Peripheral membrane protein Cytoplasmic side Sarcoplasmic reticulum membrane Peripheral membrane protein Cytoplasmic side,Calcium/calmodulin-dependent protein kinase type II subunit delta ,4q26
66,Q13555,KCC2G_HUMAN,CAMK2G,Protein kinase superfamily  CAMK Ser/Thr protein kinase family  CaMK subfamily,Sarcoplasmic reticulum membrane Peripheral membrane protein Cytoplasmic side,Calcium/calmodulin-dependent protein kinase type II subunit gamma ,10q22.2
67,Q16566,KCC4_HUMAN,CAMK4,Protein kinase superfamily  CAMK Ser/Thr protein kinase family  CaMK subfamily,Sarcoplasmic reticulum membrane Peripheral membrane protein Cytoplasmic side,Calcium/calmodulin-dependent protein kinase type IV ,5q22.1
68,Q8NCB2,CAMKV_HUMAN,CAMKV,Protein kinase superfamily  CAMK Ser/Thr protein kinase family,Cell membrane Peripheral membrane protein Cytoplasmic vesicle membrane Peripheral membrane protein,CaM kinase-like vesicle-associated protein,3p21.31
69,O14936,CSKP_HUMAN,CASK,Protein kinase superfamily  CAMK Ser/Thr protein kinase family  CaMK subfamily; MAGUK family,Nucleus Cytoplasm Cell membrane Peripheral membrane protein,Peripheral plasma membrane protein CASK ,Xp11.4
70,O14757,CHK1_HUMAN,CHEK1,Protein kinase superfamily  CAMK Ser/Thr protein kinase family  NIM1 subfamily,Nucleus Cytoplasm Cell membrane Peripheral membrane protein,Serine/threonine-protein kinase Chk1  ,11q24.2
71,O96017,CHK2_HUMAN,CHEK2,Protein kinase superfamily  CAMK Ser/Thr protein kinase family  CHK2 subfamily,Nucleus Cytoplasm Cell membrane Peripheral membrane protein,Serine/threonine-protein kinase Chk2  ,22q12.1
72,P53355,DAPK1_HUMAN,DAPK1,Protein kinase superfamily  CAMK Ser/Thr protein kinase family  DAP kinase subfamily,Nucleus Cytoplasm Cell membrane Peripheral membrane protein,Death-associated protein kinase 1 ,9q21.33
73,Q9UIK4,DAPK2_HUMAN,DAPK2,Protein kinase superfamily  CAMK Ser/Thr protein kinase family  DAP kinase subfamily,Nucleus Cytoplasm Cell membrane Peripheral membrane protein,Death-associated protein kinase 2 ,15q22.31
74,O43293,DAPK3_HUMAN,DAPK3,Protein kinase superfamily  CAMK Ser/Thr protein kinase family  DAP kinase subfamily,Nucleus Cytoplasm,Death-associated protein kinase 3 ,19p13.3
75,O15075,DCLK1_HUMAN,DCLK1,Protein kinase superfamily  CAMK Ser/Thr protein kinase family  CaMK subfamily,Nucleus Cytoplasm,Serine/threonine-protein kinase DCLK1  ,13q13.3
76,Q8N568,DCLK2_HUMAN,DCLK2,Protein kinase superfamily  CAMK Ser/Thr protein kinase family  CaMK subfamily,Nucleus Cytoplasm,Serine/threonine-protein kinase DCLK2  ,4q31.23-q31.3
77,Q9C098,DCLK3_HUMAN,DCLK3,Protein kinase superfamily  CAMK Ser/Thr protein kinase family  CaMK subfamily,Cytoplasm Nucleus,Serine/threonine-protein kinase DCLK3  ,3p22.2
78,P57058,HUNK_HUMAN,HUNK,Protein kinase superfamily  CAMK Ser/Thr protein kinase family  SNF1 subfamily,Cytoplasm Nucleus,Hormonally up-regulated neu tumor-associated kinase  ,21q22.11
79,O60229,KALRN_HUMAN,KALRN,Protein kinase superfamily  CAMK Ser/Thr protein kinase family,Cytoplasm Cytoplasm  cytoskeleton,Kalirin  ,3q21.1-q21.2
80,P49137,MAPK2_HUMAN,MAPKAPK2,Protein kinase superfamily  CAMK Ser/Thr protein kinase family,Cytoplasm Nucleus,MAP kinase-activated protein kinase 2 ,1q32.1
81,Q16644,MAPK3_HUMAN,MAPKAPK3,Protein kinase superfamily  CAMK Ser/Thr protein kinase family,Nucleus Cytoplasm,MAP kinase-activated protein kinase 3 ,3p21.2
82,Q8IW41,MAPK5_HUMAN,MAPKAPK5,Protein kinase superfamily  CAMK Ser/Thr protein kinase family,Nucleus Cytoplasm,MAP kinase-activated protein kinase 5 ,12q24.12-q24.13
83,Q9P0L2,MARK1_HUMAN,MARK1,Protein kinase superfamily  CAMK Ser/Thr protein kinase family  SNF1 subfamily,Cell membrane Peripheral membrane protein Cytoplasm  cytoskeleton Cytoplasm Cell projection  dendrite,Serine/threonine-protein kinase MARK1   ,1q41
84,Q7KZI7,MARK2_HUMAN,MARK2,Protein kinase superfamily  CAMK Ser/Thr protein kinase family  SNF1 subfamily,Cell membrane; Peripheral membrane protein. Cytoplasm. Lateral cell membrane. Cytoplasm  cytoskeleton. Cell projection  dendrite Cytoplasm,Serine/threonine-protein kinase MARK2   ,11q13.1
85,P27448,MARK3_HUMAN,MARK3,Protein kinase superfamily  CAMK Ser/Thr protein kinase family  SNF1 subfamily,Cell membrane Peripheral membrane protein Cell projection  dendrite Cytoplasm,MAP/microtubule affinity-regulating kinase 3  ,14q32.32-q32.33
86,Q96L34,MARK4_HUMAN,MARK4,Protein kinase superfamily  CAMK Ser/Thr protein kinase family  SNF1 subfamily,Cytoplasm  cytoskeleton  microtubule organizing center  centrosome Cytoplasm  cytoskeleton  microtubule organizing center Cytoplasm  cytoskeleton  cilium basal body Cytoplasm  cytoskeleton  cilium axoneme Cytoplasm Cell projection  dendrite,MAP/microtubule affinity-regulating kinase 4  ,19q13.32
87,Q14680,MELK_HUMAN,MELK,Protein kinase superfamily  CAMK Ser/Thr protein kinase family  SNF1 subfamily,Cell membrane Peripheral membrane protein,Maternal embryonic leucine zipper kinase ,9p13.2
88,Q9BUB5,MKNK1_HUMAN,MKNK1,Protein kinase superfamily  CAMK Ser/Thr protein kinase family,Cell membrane Peripheral membrane protein,MAP kinase-interacting serine/threonine-protein kinase 1  ,1p33
89,Q9HBH9,MKNK2_HUMAN,MKNK2,Protein kinase superfamily  CAMK Ser/Thr protein kinase family,Cell membrane Peripheral membrane protein,MAP kinase-interacting serine/threonine-protein kinase 2  ,19p13.3
90,Q15746,MYLK_HUMAN,MYLK,Protein kinase superfamily  CAMK Ser/Thr protein kinase family,Cytoplasm Cell projection  lamellipodium Cleavage furrow Cytoplasm  cytoskeleton  stress fiber,Myosin light chain kinase  smooth muscle ,3q21.1
91,Q9H1R3,MYLK2_HUMAN,MYLK2,Protein kinase superfamily  CAMK Ser/Thr protein kinase family,Cytoplasm Cell projection  lamellipodium Cleavage furrow Cytoplasm  cytoskeleton  stress fiber,Myosin light chain kinase 2  skeletal/cardiac muscle ,20q11.21
92,Q32MK0,MYLK3_HUMAN,MYLK3,Protein kinase superfamily  CAMK Ser/Thr protein kinase family,Cytoplasm,Myosin light chain kinase 3 ,16q11.2
93,Q86YV6,MYLK4_HUMAN,MYLK4,Protein kinase superfamily  CAMK Ser/Thr protein kinase family,Cytoplasm,Myosin light chain kinase family member 4  
94,Q8IY84,NIM1_HUMAN,NIM1K,Protein kinase superfamily  CAMK Ser/Thr protein kinase family,Cytoplasm,Serine/threonine-protein kinase NIM1  ,5p12
95,O60285,NUAK1_HUMAN,NUAK1,Protein kinase superfamily  CAMK Ser/Thr protein kinase family  SNF1 subfamily,Nucleus Cytoplasm,NUAK family SNF1-like kinase 1  ,12q23.3
96,Q9H093,NUAK2_HUMAN,NUAK2,Protein kinase superfamily  CAMK Ser/Thr protein kinase family  SNF1 subfamily,Nucleus Cytoplasm,NUAK family SNF1-like kinase 2  ,1q32.1
97,Q5VST9,OBSCN_HUMAN,OBSCN,Protein kinase superfamily  CAMK Ser/Thr protein kinase family,Cytoplasm  myofibril  sarcomere  M line Cytoplasm  myofibril  sarcomere  Z line,Obscurin  ,1q42.13
98,Q96RG2,PASK_HUMAN,PASK,Protein kinase superfamily  CAMK Ser/Thr protein kinase family,Cytoplasm Nucleus,PAS domain-containing serine/threonine-protein kinase ,2q37.3
99,Q16816,PHKG1_HUMAN,PHKG1,Protein kinase superfamily  CAMK Ser/Thr protein kinase family,Cytoplasm Nucleus,Phosphorylase b kinase gamma catalytic chain  skeletal muscle/heart isoform ,7p11.2
100,P15735,PHKG2_HUMAN,PHKG2,Protein kinase superfamily  CAMK Ser/Thr protein kinase family,Cytoplasm Nucleus,Phosphorylase b kinase gamma catalytic chain  liver/testis isoform ,16p11.2
101,P11309,PIM1_HUMAN,PIM1,Protein kinase superfamily  CAMK Ser/Thr protein kinase family  PIM subfamily,Cytoplasm Nucleus,Serine/threonine-protein kinase pim-1 ,6p21.2
102,Q9P1W9,PIM2_HUMAN,PIM2,Protein kinase superfamily  CAMK Ser/Thr protein kinase family  PIM subfamily,Cytoplasm Nucleus,Serine/threonine-protein kinase pim-2  ,Xp11.23
103,Q86V86,PIM3_HUMAN,PIM3,Protein kinase superfamily  CAMK Ser/Thr protein kinase family  PIM subfamily,Cytoplasm,Serine/threonine-protein kinase pim-3 ,22q13.33
104,Q6P2M8,KCC1B_HUMAN,PNCK,Protein kinase superfamily  CAMK Ser/Thr protein kinase family  CaMK subfamily,Cytoplasm Nucleus,Calcium/calmodulin-dependent protein kinase type 1B  ,Xq28
105,Q13131,AAPK1_HUMAN,PRKAA1,Protein kinase superfamily  CAMK Ser/Thr protein kinase family  SNF1 subfamily,Cytoplasm Nucleus,5'-AMP-activated protein kinase catalytic subunit alpha-1 ,5p13.1
106,P54646,AAPK2_HUMAN,PRKAA2,Protein kinase superfamily  CAMK Ser/Thr protein kinase family  SNF1 subfamily,Cytoplasm Nucleus,5'-AMP-activated protein kinase catalytic subunit alpha-2 ,1p32.2
107,Q15139,KPCD1_HUMAN,PRKD1,Protein kinase superfamily  CAMK Ser/Thr protein kinase family  PKD subfamily,Cytoplasm Cell membrane Golgi apparatus  trans-Golgi network,Serine/threonine-protein kinase D1  ,14q12
108,Q9BZL6,KPCD2_HUMAN,PRKD2,Protein kinase superfamily  CAMK Ser/Thr protein kinase family  PKD subfamily,Cytoplasm Cell membrane Nucleus Golgi apparatus  trans-Golgi network,Serine/threonine-protein kinase D2  ,19q13.32
109,O94806,KPCD3_HUMAN,PRKD3,Protein kinase superfamily  CAMK Ser/Thr protein kinase family  PKD subfamily,Cytoplasm Membrane,Serine/threonine-protein kinase D3  ,2p22.2
110,P11801,KPSH1_HUMAN,PSKH1,Protein kinase superfamily  CAMK Ser/Thr protein kinase family,Cytoplasm Membrane,Serine/threonine-protein kinase H1  ,16q22.1
111,Q96QS6,KPSH2_HUMAN,PSKH2,Protein kinase superfamily  CAMK Ser/Thr protein kinase family,Cytoplasm Membrane,Serine/threonine-protein kinase H2  ,8q21.3
112,P57059,SIK1_HUMAN,SIK1,Protein kinase superfamily  CAMK Ser/Thr protein kinase family  AMPK subfamily,Cytoplasm Nucleus,Serine/threonine-protein kinase SIK1  ,21q22.3
113,Q9H0K1,SIK2_HUMAN,SIK2,Protein kinase superfamily  CAMK Ser/Thr protein kinase family  SNF1 subfamily,Cytoplasm,Serine/threonine-protein kinase SIK2  ,11q23.1
114,Q9Y2K2,SIK3_HUMAN,SIK3,Protein kinase superfamily  CAMK Ser/Thr protein kinase family  SNF1 subfamily,Cytoplasm,Serine/threonine-protein kinase SIK3  ,11q23.3
115,Q9NRH2,SNRK_HUMAN,SNRK,Protein kinase superfamily  CAMK Ser/Thr protein kinase family,Nucleus,SNF-related serine/threonine-protein kinase  ,3p22.1
116,Q15772,SPEG_HUMAN,SPEG,Protein kinase superfamily  CAMK Ser/Thr protein kinase family,Nucleus,Striated muscle preferentially expressed protein kinase  ,2q35
117,Q15831,STK11_HUMAN,STK11,Protein kinase superfamily  CAMK Ser/Thr protein kinase family  LKB1 subfamily,Nucleus. Cytoplasm. Membrane Mitochondrion.,Serine/threonine-protein kinase STK11  ,19p13.3
118,Q9UEE5,ST17A_HUMAN,STK17A,Protein kinase superfamily  CAMK Ser/Thr protein kinase family  DAP kinase subfamily,Nucleus,Serine/threonine-protein kinase 17A  ,7p13
119,O94768,ST17B_HUMAN,STK17B,Protein kinase superfamily  CAMK Ser/Thr protein kinase family  DAP kinase subfamily,Nucleus Cell membrane Endoplasmic reticulum-Golgi intermediate compartment,Serine/threonine-protein kinase 17B  ,2q32.3
120,Q9BYT3,STK33_HUMAN,STK33,Protein kinase superfamily  CAMK Ser/Thr protein kinase family  CaMK subfamily,Cytoplasm  perinuclear region,Serine/threonine-protein kinase 33 ,11p15.4
